SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TRADED,TRADE_PHASE,TEAM_ABBREVIATION,IS_POST_TRADE,TA_BPM
22023,201142,22300690,2024-02-02,PHX @ ATL,L,38,14,24,0.583,5,9,0.556,2,2,1.0,1,7,8,8,2,1,4,3,35,-1,1,Kevin Durant,False,Pre,PHX,0,12.599999999999998
22023,201142,22300705,2024-02-04,PHX @ WAS,W,26,7,9,0.778,3,3,1.0,1,2,0.5,0,4,4,3,2,1,1,0,18,18,1,Kevin Durant,False,Pre,PHX,0,6.6499999999999995
22023,201142,22300725,2024-02-06,PHX vs. MIL,W,39,11,21,0.524,1,5,0.2,5,7,0.714,0,10,10,1,1,2,5,3,28,8,1,Kevin Durant,False,Pre,PHX,0,9.149999999999999
22023,201142,22300739,2024-02-08,PHX vs. UTA,W,35,14,23,0.609,2,6,0.333,1,1,1.0,0,8,8,7,3,2,3,1,31,17,1,Kevin Durant,False,Pre,PHX,0,11.649999999999999
22023,201142,22300757,2024-02-10,PHX @ GSW,L,39,10,25,0.4,2,8,0.25,2,2,1.0,1,9,10,7,1,2,6,0,24,0,1,Kevin Durant,False,Pre,PHX,0,8.899999999999999
22023,201142,22300774,2024-02-13,PHX vs. SAC,W,38,11,17,0.647,2,5,0.4,4,6,0.667,2,9,11,4,1,0,3,2,28,8,1,Kevin Durant,False,Pre,PHX,0,10.200000000000001
22023,201142,22300787,2024-02-14,PHX vs. DET,W,30,8,13,0.615,1,3,0.333,8,8,1.0,1,5,6,6,1,2,5,2,25,23,1,Kevin Durant,False,Pre,PHX,0,8.649999999999999
22023,201142,22300796,2024-02-22,PHX @ DAL,L,40,9,22,0.409,2,8,0.25,3,5,0.6,0,6,6,1,1,1,5,3,23,-4,1,Kevin Durant,False,Pre,PHX,0,6.949999999999999
22023,201142,22300806,2024-02-23,PHX @ HOU,L,38,10,22,0.455,1,7,0.143,7,10,0.7,0,11,11,8,1,2,2,3,28,5,1,Kevin Durant,False,Pre,PHX,0,11.45
22023,201142,22300818,2024-02-25,PHX vs. LAL,W,39,7,20,0.35,2,8,0.25,6,6,1.0,1,4,5,7,0,2,3,2,22,2,1,Kevin Durant,False,Pre,PHX,0,8.2
